Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Nov15,2023",09/2023,--,0.712,--,12.43B
"Aug17,2023",06/2023,--,0.7116,--,12.4B
"May16,2023",03/2023,0.63,0.6146,11.65B,11.59B
"Feb16,2023",12/2022,0.68,0.6053,11.67B,10.85B
"Nov16,2022",09/2022,0.55,0.5394,10B,9.86B
"Aug18,2022",06/2022,0.6,0.5148,9.66B,9.38B
"May17,2022",03/2022,0.33,0.3558,8.75B,8.01B
"Feb17,2022",12/2021,0.44,0.4546,8.39B,8.38B
"Nov17,2021",09/2021,0.44,0.4435,7.82B,7.7B
"Aug19,2021",06/2021,0.45,0.3367,7.79B,7.06B
"May11,2021",03/2021,0.315,0.2825,6.83B,6.66B
"Feb17,2021",12/2020,1.89,1.95,7.69B,7.68B
"Nov18,2020",09/2020,1.49,1.4,6.89B,6.77B
"Aug19,2020",06/2020,0.95,0.82,6.23B,6.03B
"May14,2020",03/2020,0.84,0.92,6.35B,6.3B
"Feb13,2020",12/2019,1.34,1.34,7.14B,7.14B
"Nov15,2019",09/2019,1.25,1.27,6.35B,6.34B
"Aug16,2019",06/2019,0.93,0.9,6.09B,6.05B
"May14,2019",03/2019,0.82,0.81,5.76B,5.7B
"Feb15,2019",12/2018,1.37,1.4,6.5B,6.4B
"Nov16,2018",09/2018,1.21,1.21,5.79B,5.79B
"Aug17,2018",06/2018,0.87,0.88,5.37B,5.37B
"May17,2018",03/2018,0.67,0.67,4.86B,4.8B
"Feb16,2018",12/2017,1.13,1,5.36B,5.24B
"Nov20,2017",09/2017,0.96,0.94,4.64B,"4,795M"
"Aug18,2017",06/2017,0.71,0.75,4.64B,"4,577M"
"May11,2017",03/2017,0.58,0.52,4.37B,"4,174M"
"Feb16,2017",12/2016,0.97,0.96,4.87B,"4,698M"
"Nov17,2016",09/2016,0.9289,0.98,4.14B,"4,109M"
"Aug19,2016",06/2016,0.95,0.15,3.30B,"3,296M"
