date,block,beds,psf,area,price
2023-07-01,18,3,1671,915,1529000
2022-08-01,18,1,1859,495,920000
2022-07-01,18,1,1487,861,1280000
2021-11-01,18,1,1475,495,730000
2021-07-01,18,2,1245,1044,1300000
2020-07-01,18,2,1614,818,1320000
2020-07-01,18,2,1238,969,1200000
2020-02-01,18,1,1592,495,788000
2019-01-01,18,1,1626,495,805000
2018-07-01,18,2,1755,732,1285000
2018-02-01,18,1,1737,495,860000
2017-12-01,18,2,1576,818,1289000
2017-05-01,18,2,1191,1259,1500000
2017-04-01,18,2,1191,1259,1500000
2016-07-01,18,1,1394,861,1200000
2016-05-01,18,1,1336,861,1150000
2015-01-01,18,3,1584,1571,2489000
2013-05-01,18,3,1527,1572,2400000
2013-05-01,18,1,1786,851,1520000
2013-03-01,18,2,1688,732,1236000
2023-07-01,18,3,1671,915,1529000
2022-08-01,18,1,1859,495,920000
2022-07-01,18,1,1487,861,1280000
2021-11-01,18,1,1475,495,730000
2021-07-01,18,2,1245,1044,1300000
2020-07-01,18,2,1614,818,1320000
2020-07-01,18,2,1238,969,1200000
2020-02-01,18,1,1592,495,788000
2019-01-01,18,1,1626,495,805000
2018-07-01,18,2,1755,732,1285000
2018-02-01,18,1,1737,495,860000
2017-12-01,18,2,1576,818,1289000
2017-05-01,18,2,1191,1259,1500000
2017-04-01,18,2,1191,1259,1500000
2016-07-01,18,1,1394,861,1200000
2016-05-01,18,1,1336,861,1150000
2015-01-01,18,3,1584,1571,2489000
2013-05-01,18,3,1527,1572,2400000
2013-05-01,18,1,1786,851,1520000
2013-03-01,18,2,1688,732,1236000
2012-06-01,18,2,1542,818,1261000
2012-06-01,18,3,1793,915,1641000
2012-05-01,18,2,1533,818,1254000
2012-05-01,18,1,1876,495,928380
2012-05-01,18,1,1802,495,892130
2012-05-01,18,1,1830,495,906070
2012-05-01,18,3,1883,915,1723000
2012-05-01,18,1,1701,495,841950
2012-05-01,18,3,1784,915,1633000
2012-05-01,18,1,1847,495,914430
2012-05-01,18,2,1778,732,1301000
2012-05-01,18,1,1814,495,897700
2012-05-01,18,3,1682,915,1539000
2012-05-01,18,1,1892,495,936740
2012-05-01,18,1,1864,495,922800
2012-05-01,18,3,1863,915,1705000
2012-05-01,18,1,1909,495,945110
2012-05-01,18,1,1915,495,947890
2012-05-01,18,2,1565,969,1517000
2012-05-01,18,1,1817,495,899580
2012-05-01,18,3,1904,915,1742000
2012-05-01,18,2,1671,818,1366000
2012-05-01,18,2,1606,1044,1676000
2012-05-01,18,3,1802,915,1649000
2012-05-01,18,2,1876,732,1373000
2012-05-01,18,2,1508,969,1462000
2012-05-01,18,1,1797,495,889350
2012-05-01,18,1,1898,495,939530
2012-05-01,18,2,1787,732,1308000
2012-05-01,18,3,1836,915,1680000
2012-05-01,18,1,1791,495,886560
2012-05-01,18,1,1836,495,908860
2012-05-01,18,2,1958,732,1433000
2012-05-01,18,2,1838,732,1346000
2012-05-01,18,2,1799,732,1317000
2012-05-01,18,1,1723,495,853100
2012-05-01,18,2,1781,732,1304000
2012-04-01,18,1,1788,495,884850
2012-04-01,18,2,1777,732,1300000
2012-04-01,18,1,1808,495,894920
2012-04-01,18,3,1816,915,1661000
2012-04-01,18,2,1630,818,1333000
2012-04-01,18,1,1785,495,883773
2012-04-01,18,2,1854,732,1357000
2012-04-01,18,3,1796,915,1643000
2012-04-01,18,2,1937,732,1418000
2012-04-01,18,1,1735,495,858680
2012-04-01,18,3,1775,915,1624000
2012-04-01,18,1,1746,495,864260
2012-04-01,18,2,1704,818,1394000
2012-04-01,18,2,1895,732,1387000
2012-04-01,18,1,1774,495,878190
2012-04-01,18,1,1785,495,883770
2012-04-01,18,1,1763,495,872620
2012-04-01,18,2,1796,732,1314000
2012-04-01,18,3,1735,915,1587000
2012-04-01,18,2,1540,818,1260000
2012-04-01,18,2,1632,818,1335000
2012-04-01,18,2,1641,818,1343000
2012-04-01,18,2,1654,818,1353000
2012-04-01,18,2,1614,818,1320000
2012-04-01,18,2,1917,732,1403000
2012-04-01,18,2,1738,818,1422000
2012-04-01,18,1,1712,495,847533
2012-04-01,18,2,1805,732,1321000
2012-04-01,18,1,1768,495,875400
2012-04-01,18,3,1726,915,1579000
2012-04-01,18,2,1874,732,1372000
2012-04-01,18,2,1623,818,1328000
2012-04-01,18,1,1802,495,892130
